id_ticket,login,sujet,description,priorité,date_creation,heure,status,date_fermeture
1,user123,Demande d'assistance,Problème avec l'imprimante,haute,2023-12-15,09:30,en cours de traitement,None
2,user456,Problème de connexion,Impossible de se connecter au réseau,moyenne,2023-12-14,11:45,fermé,2023-12-14
3,user789,Besoin d'aide pour un logiciel,Erreur inconnue lors de l'utilisation,haute,2023-12-13,14:20,en cours de traitement,None
4,user789,Demande de formation,Formation sur le nouveau logiciel requis,faible,2023-12-12,10:00,en cours de traitement,None
5,user456,Problème de messagerie,Emails non reçus dans la boîte de réception,moyenne,2023-12-11,16:55,fermé,2023-12-11
6,user123,Demande de matériel,Nouveau bureau requis pour le département,haute,2023-12-10,13:10,en cours de traitement,None
7,user789,Problème avec le système,Écrans figés après la mise à jour,haute,2023-12-09,08:45,en cours de traitement,None
8,user456,Besoin d'assistance téléphonique,Configuration du téléphone professionnel,faible,2023-12-08,09:20,en cours de traitement,None
9,user123,Problème d'accès aux fichiers,Impossible d'ouvrir certains documents,haute,2023-12-07,14:35,en cours de traitement,None
10,user789,Demande de dépannage,Dysfonctionnement du système de ventilation,haute,2023-12-06,12:00,fermé,2023-12-06
11,user123,Demande d'assistance,Problème avec l'imprimante,faible,2022-11-15,10:30,en cours de traitement,None
12,user456,Problème de connexion,Impossible de se connecter au réseau,haute,2022-11-14,15:15,en cours de traitement,None
13,user789,Besoin d'aide pour un logiciel,Erreur inconnue lors de l'utilisation,moyenne,2022-11-13,12:40,en cours de traitement,None
14,user789,Demande de formation,Formation sur le nouveau logiciel requis,faible,2022-11-12,09:10,en cours de traitement,None
15,user456,Problème de messagerie,Emails non reçus dans la boîte de réception,haute,2022-11-11,14:55,en cours de traitement,None
16,user123,Demande de matériel,Nouveau bureau requis pour le département,faible,2022-10-30,11:20,en cours de traitement,None
17,user789,Problème avec le système,Écrans figés après la mise à jour,moyenne,2022-10-29,08:05,en cours de traitement,None
18,user456,Besoin d'assistance téléphonique,Configuration du téléphone professionnel,faible,2022-10-28,09:50,en cours de traitement,None
19,user123,Problème d'accès aux fichiers,Impossible d'ouvrir certains documents,faible,2022-10-27,15:15,en cours de traitement,None
20,user789,Demande de dépannage,Dysfonctionnement du système de ventilation,moyenne,2022-10-26,12:40,en cours de traitement,None
21,user123,Demande d'assistance,Problème avec l'imprimante,haute,2022-10-25,10:05,en cours de traitement,None
22,user456,Problème de connexion,Impossible de se connecter au réseau,faible,2022-10-24,15:50,en cours de traitement,None
23,user789,Besoin d'aide pour un logiciel,Erreur inconnue lors de l'utilisation,moyenne,2022-10-23,12:15,en cours de traitement,None
24,user789,Demande de formation,Formation sur le nouveau logiciel requis,faible,2022-10-22,09:45,en cours de traitement,None
25,user456,Problème de messagerie,Emails non reçus dans la boîte de réception,moyenne,2022-10-21,15:30,en cours de traitement,None
26,user123,Demande de matériel,Nouveau bureau requis pour le département,haute,2022-10-20,12:55,en cours de traitement,None
27,user789,Problème avec le système,Écrans figés après la mise à jour,haute,2022-10-19,09:30,en cours de traitement,None
28,user456,Besoin d'assistance téléphonique,Configuration du téléphone professionnel,faible,2022-10-18,10:15,en cours de traitement,None
29,user123,Problème d'accès aux fichiers,Impossible d'ouvrir certains documents,haute,2022-10-17,15:40,en cours de traitement,None
30,user789,Demande de dépannage,Dysfonctionnement du système de ventilation,haute,2022-10-16,13:05,en cours de traitement,None
31,user123,Demande d'assistance,Problème avec l'imprimante,faible,2021-10-15,11:30,en cours de traitement,None
32,user456,Problème de connexion,Impossible de se connecter au réseau,haute,2021-10-14,16:15,en cours de traitement,None
33,user789,Besoin d'aide pour un logiciel,Erreur inconnue lors de l'utilisation,moyenne,2021-10-13,13:40,en cours de traitement,None
34,user789,Demande de formation,Formation sur le nouveau logiciel requis,faible,2021-10-12,10:10,en cours de traitement,None
35,user456,Problème de messagerie,Emails non reçus dans la boîte de réception,haute,2021-10-11,15:55,en cours de traitement,None
36,user123,Demande de matériel,Nouveau bureau requis pour le département,faible,2021-10-10,12:20,en cours de traitement,None
37,user789,Problème avec le système,Écrans figés après la mise à jour,moyenne,2021-10-09,08:55,en cours de traitement,None
38,user456,Besoin d'assistance téléphonique,Configuration du téléphone professionnel,faible,2021-10-08,09:40,en cours de traitement,None
39,user123,Problème d'accès aux fichiers,Impossible d'ouvrir certains documents,faible,2021-10-07,15:05,en cours de traitement,None
40,user789,Demande de dépannage,Dysfonctionnement du système de ventilation,haute,2021-10-06,12:30,en cours de traitement,None
41,user123,Demande d'assistance,Problème avec l'imprimante,faible,2021-10-05,10:55,en cours de traitement,None
42,user456,Problème de connexion,Impossible de se connecter au réseau,haute,2021-10-04,15:40,en cours de traitement,None
43,user789,Besoin d'aide pour un logiciel,Erreur inconnue lors de l'utilisation,moyenne,2021-10-03,13:05,en cours de traitement,None
44,user789,Demande de formation,Formation sur le nouveau logiciel requis,faible,2021-10-02,10:30,en cours de traitement,None
45,user456,Problème de messagerie,Emails non reçus dans la boîte de réception,haute,2021-10-01,16:15,en cours de traitement,None
46,user123,Demande de matériel,Nouveau bureau requis pour le département,haute,2021-09-30,12:40,en cours de traitement,None
47,user789,Problème avec le système,Écrans figés après la mise à jour,moyenne,2021-09-29,09:15,en cours de traitement,None
48,user456,Besoin d'assistance téléphonique,Configuration du téléphone professionnel,faible,2021-09-28,09:00,en cours de traitement,None
49,user123,Problème d'accès aux fichiers,Impossible d'ouvrir certains documents,faible,2021-09-27,15:25,en cours de traitement,None
50,user789,Demande de dépannage,Dysfonctionnement du système de ventilation,haute,2021-09-26,12:50,en cours de traitement,None
51,user123,Demande d'assistance,Problème avec l'imprimante,faible,2021-09-25,10:05,en cours de traitement,None
52,user456,Problème de connexion,Impossible de se connecter au réseau,haute,2021-09-24,15:50,en cours de traitement,None
53,user789,Besoin d'aide pour un logiciel,Erreur inconnue lors de l'utilisation,moyenne,2021-09-23,12:15,en cours de traitement,None
54,user789,Demande de formation,Formation sur le nouveau logiciel requis,faible,2021-09-22,09:45,en cours de traitement,None
55,user456,Problème de messagerie,Emails non reçus dans la boîte de réception,haute,2021-09-21,15:30,en cours de traitement,None
56,user123,Demande de matériel,Nouveau bureau requis pour le département,faible,2021-09-20,12:55,en cours de traitement,None
57,user789,Problème avec le système,Écrans figés après la mise à jour,haute,2021-09-19,09:30,en cours de traitement,None
58,user456,Besoin d'assistance téléphonique,Configuration du téléphone professionnel,faible,2021-09-18,10:15,en cours de traitement,None
59,user123,Problème d'accès aux fichiers,Impossible d'ouvrir certains documents,haute,2021-09-17,15:45,en cours de traitement,None
60,user789,Demande de dépannage,Dysfonctionnement du système de ventilation,haute,2021-09-16,13:10,en cours de traitement,None
61,user123,Demande d'assistance,Problème avec l'imprimante,faible,2020-09-15,11:35,en cours de traitement,None
62,user456,Problème de connexion,Impossible de se connecter au réseau,haute,2020-09-14,16:20,en cours de traitement,None
63,user789,Besoin d'aide pour un logiciel,Erreur inconnue lors de l'utilisation,moyenne,2020-09-13,13:45,en cours de traitement,None
64,user789,Demande de formation,Formation sur le nouveau logiciel requis,faible,2020-09-12,11:10,en cours de traitement,None
65,user456,Problème de messagerie,Emails non reçus dans la boîte de réception,haute,2020-09-11,16:55,en cours de traitement,None
66,user456,Sujet 66,Description du ticket 66,haute,2023-07-01,08:00,fermé,2023-07-10
67,user123,Sujet 67,Description du ticket 67,faible,2023-09-10,16:00,fermé,2023-09-20
68,user789,Sujet 68,Description du ticket 68,moyenne,2023-05-15,14:00,fermé,2023-05-25
69,user456,Sujet 69,Description du ticket 69,faible,2023-01-20,09:00,fermé,2023-01-30
70,user789,Sujet 70,Description du ticket 70,moyenne,2023-10-01,22:00,fermé,2023-10-10
71,user123,Sujet 71,Description du ticket 71,haute,2023-04-05,12:00,fermé,2023-04-15
72,user456,Sujet 72,Description du ticket 72,moyenne,2023-11-10,18:00,fermé,2023-11-20
73,user789,Sujet 73,Description du ticket 73,haute,2023-08-15,10:00,fermé,2023-08-25
74,user123,Sujet 74,Description du ticket 74,faible,2023-06-01,08:00,fermé,2023-06-10
75,user456,Sujet 75,Description du ticket 75,faible,2023-03-10,14:00,fermé,2023-03-20
76,user789,Sujet 76,Description du ticket 76,moyenne,2023-02-05,16:00,fermé,2023-02-15
77,user123,Sujet 77,Description du ticket 77,faible,2023-12-15,20:00,fermé,2023-12-25
78,user789,Sujet 78,Description du ticket 78,moyenne,2023-09-01,10:00,fermé,2023-09-10
79,user456,Sujet 79,Description du ticket 79,haute,2023-07-10,08:00,fermé,2023-07-20
80,user123,Sujet 80,Description du ticket 80,faible,2023-05-20,12:00,fermé,2023-05-30
81,user789,Sujet 81,Description du ticket 81,haute,2023-01-10,14:00,fermé,2023-01-20
82,user123,Sujet 82,Description du ticket 82,haute,2023-10-20,10:00,fermé,2023-10-30
83,user456,Sujet 83,Description du ticket 83,faible,2023-11-01,18:00,fermé,2023-11-10
84,user789,Sujet 84,Description du ticket 84,moyenne,2023-04-30,08:00,fermé,2023-05-10
85,user123,Sujet 85,Description du ticket 85,haute,2023-02-10,16:00,fermé,2023-02-20
86,user789,Sujet 86,Description du ticket 86,faible,2023-08-25,12:00,fermé,2023-09-05
87,user456,Sujet 87,Description du ticket 87,moyenne,2023-06-15,14:00,fermé,2023-06-25
88,user123,Sujet 88,Description du ticket 88,faible,2023-09-20,22:00,fermé,2023-09-30
89,user456,Sujet 89,Description du ticket 89,moyenne,2023-05-15,10:00,fermé,2023-05-25
90,user789,Sujet 90,Description du ticket 90,faible,2023-12-05,08:00,fermé,2023-12-15
91,user123,Sujet 91,Description du ticket 91,moyenne,2023-07-08,16:00,fermé,2023-07-18
92,user456,Sujet 92,Description du ticket 92,faible,2023-11-25,14:00,fermé,2023-12-05
93,user789,Sujet 93,Description du ticket 93,haute,2023-02-01,12:00,fermé,2023-02-11
94,user123,Sujet 94,Description du ticket 94,moyenne,2023-10-10,10:00,fermé,2023-10-20
95,user456,Sujet 95,Description du ticket 95,faible,2023-08-30,08:00,fermé,2023-09-09
96,user789,Sujet 96,Description du ticket 96,moyenne,2023-04-18,18:00,fermé,2023-04-28
97,user123,Sujet 97,Description du ticket 97,haute,2023-02-25,12:00,fermé,2023-03-07
98,user456,Sujet 98,Description du ticket 98,faible,2023-11-10,08:00,fermé,2023-11-20
99,user789,Sujet 99,Description du ticket 99,moyenne,2023-01-15,16:00,fermé,2023-01-25
100,user123,Sujet 100,Description du ticket 100,faible,2023-10-05,20:00,fermé,2023-10-15
111,user456,Sujet 111,Description du ticket 111,moyenne,2024-02-01,08:00,fermé,2024-04-24
112,user789,Sujet 112,Description du ticket 112,haute,2024-02-02,09:45,fermé,2024-04-24
113,user123,Sujet 113,Description du ticket 113,faible,2024-02-03,11:30,fermé,2024-04-24
114,user456,Sujet 114,Description du ticket 114,haute,2024-02-04,13:15,fermé,2024-04-24
115,user789,Sujet 115,Description du ticket 115,moyenne,2024-02-05,15:00,fermé,2024-04-24
116,user123,Sujet 116,Description du ticket 116,faible,2024-02-06,16:45,fermé,2024-04-24
117,user456,Sujet 117,Description du ticket 117,haute,2024-02-07,18:30,fermé,2024-04-24
118,user789,Sujet 118,Description du ticket 118,faible,2024-02-08,20:15,fermé,2024-04-24
119,user123,Sujet 119,Description du ticket 119,haute,2024-02-09,22:00,fermé,2024-04-24
120,user456,Sujet 120,Description du ticket 120,moyenne,2024-02-10,08:00,fermé,2024-04-24
121,user789,Sujet 121,Description du ticket 121,haute,2024-02-11,09:45,fermé,2024-04-24
122,user123,Sujet 122,Description du ticket 122,faible,2024-02-12,11:30,fermé,2024-04-24
123,user456,Sujet 123,Description du ticket 123,haute,2024-02-13,13:15,fermé,2024-04-24
124,user789,Sujet 124,Description du ticket 124,moyenne,2024-02-14,15:00,fermé,2024-04-24
125,user123,Sujet 125,Description du ticket 125,faible,2024-02-15,16:45,fermé,2024-04-24
126,user456,Sujet 126,Description du ticket 126,haute,2024-02-16,18:30,fermé,2024-04-24
127,user789,Sujet 127,Description du ticket 127,faible,2024-02-17,20:15,fermé,2024-04-24
128,user123,Sujet 128,Description du ticket 128,haute,2024-02-18,22:00,fermé,2024-04-24
129,user456,Sujet 129,Description du ticket 129,faible,2024-02-19,08:00,fermé,2024-04-24
130,user789,Sujet 130,Description du ticket 130,haute,2024-02-20,09:45,fermé,2024-04-24

